id,origin,title,author,description,image
5686,Canadian,The Red Pole of Macau,Ian Hamilton,"The “cool and stylish heroine kicks it up a notch” (Terry Fallis, author of Best Laid Plans), in the gripping fourth installment of Ian Hamilton’s Ava ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-red-pole-of-macau2/9780887842542_cover/423109087-1-eng-CA/9780887842542_cover_coverbookpage_embed.jpg
5687,Canadian,The Red Power Murders,Thomas King,From the bestselling author of The Back of the Turtle and The Inconvenient Indian comes a wry and irreverent mysteryThumps DreadfulWater has never liked ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-red-power-murders3/9781443455381_cover/424342138-1-eng-CA/9781443455381_cover_coverbookpage_embed.jpg
5688,Canadian,The Reflecting Man,D.K.R. Boyd,"In January of 1936, our loquacious and unreliable narrator, Kurtis De’ath arrives in London on the orders of Adolf Hitler. Kurtis is loaded with secrets, ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-reflecting-man/9781987914030_cover/409430805-1-eng-CA/9781987914030_cover_coverbookpage_embed.jpg
5689,Canadian,Therefore Choose,Keith Oatley,"On a summer visit to Germany, George, a young medical student at Cambridge, meets Anna von Kleist, whose intellectual force, beauty, and self-assurance smite ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/therefore-choose/9780864926166_cover/419927838-1-eng-CA/9780864926166_cover_coverbookpage_embed.jpg
5690,Canadian,The Regiment,Farley Mowat,The story of an astonishing band of Canadian soldiers and their part in the Allied victory in Italy.The Hastings and Prince Edward Regiment (the Hasty Ps) ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-regiment2/9781459733893_author/424899655-1-eng-CA/9781459733893_author_coverbookpage_embed.jpg
5691,Canadian,There Goes the Neighbourhood,Stan Rogal,There Goes the Neighbourhood is a collection of ten dark-humoured stories that explore the urban setting and portray not only what might go on behind closed ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/there-goes-the-neighbourhood2/9781927823682_cover/316059487-1-eng-CA/9781927823682_cover_coverbookpage_embed.jpg
5692,Canadian,There Has to Be a Knife,Adnan Khan,"For readers of Brother by David Chariandy and Scarborough by Catherine Hernandez, Adnan Khan's blistering debut novel investigates themes of race, class, ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/there-has-to-be-a-knife/9781551527857_cover/425196887-1-eng-CA/9781551527857_cover_coverbookpage_embed.jpg
5693,Canadian,The Rehearsal,Eleanor Catton,"The sensational first novel from the Man Booker Prize-winning author of The Luminaries. Set in the aftermath of a sex scandal at an all-girls’ high school, ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-rehearsal/9780771019845_cover/385747760-1-eng-CA/9780771019845_cover_coverbookpage_embed.jpg
5694,Canadian,The Reinvention Of Love,Helen Humphreys,"When Charles Sainte-Beuve, an ambitious French journalist, meets Victor Hugo, a young writer on the verge of fame, he finds himself in a world of great ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-reinvention-of-love/9781554684434_cover/327269735-1-eng-CA/9781554684434_cover_coverbookpage_embed.jpg
5695,Canadian,There is No Other,Jon Papernick,"Jonathan Papernick presents nine insightful, tender, and darkly humorous stories. From the streets of modern Israel to the barrooms of Brooklyn to a suburban ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/there-is-no-other/9781550961386_cover/98726137-1-eng-CA/9781550961386_cover_coverbookpage_embed.jpg
