id,origin,title,author,description,image
0,Canadian,01 Nathaniel Mcdaniel and Bigbeards Hook,Evan Solomon,"Meet Nathaniel McDaniel, the mischievous hero of a delightful new series of adventures. In Bigbeard's Hook, Nate discovers Gramps' attic and a treasure trove ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/01-nathaniel-mcdaniel-and-bigbeards-hook/9780143312154_cover/186962395-1-eng-CA/9780143312154_cover_coverbookpage_embed.jpg
1,Canadian,02 Standard of Honor Book Two of the Templar Trilogy,Jack Whyte,"Jack Whyte’s thrilling Templar Trilogy continues with Standard of Honor, in which oaths of loyalty and obedience are weighed against the virtues of honour ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/02-standard-of-honor-book-two-of-the-templar-trilogy/9780143017387_cover/411046187-1-eng-CA/9780143017387_cover_coverbookpage_embed.jpg
2,Canadian,03 Knights Templar Order in Chaos,Jack Whyte,"In the final novel in the Templar Trilogy, William St. Clair faces the end of the Order of the Temple of Solomon. Philip IV has arrested every Templar in ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/03-knights-templar-order-in-chaos/9780670045150_cover/285402776-1-eng-CA/9780670045150_cover_coverbookpage_embed.jpg
3,Canadian,100 Easy-to-Grow Native Plants for Canadian Gardens,Lorraine Johnson,The key to a carefree garden is to know which plants will thrive under local conditions and which ones are better left at the nursery. With watering ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/100-easy-to-grow-native-plants-for-canadian-gardens/9781771621441_cover/415496324-1-eng-CA/9781771621441_cover_coverbookpage_embed.jpg
4,Canadian,10 Women,George Bowering,Ten Women is a new collection of short fiction from one of Canada's preeminent writers. Each of these stories offers us a portrait of a woman with whom the ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/10-women/9781772140316_cover/421561334-1-eng-CA/9781772140316_cover_coverbookpage_embed.jpg
5,Canadian,12 Rose Street,Gail Bowen,The indomitable Joanne Kilbourn is back! From beloved author Gail Bowen comes the 15th installment in the nationally bestselling series. For readers of Louise ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/12-rose-street/9780771024016_cover/420201256-1-eng-CA/9780771024016_cover_coverbookpage_embed.jpg
6,Canadian,12 Shades of Surrender,Anne Calhoun,"Are you ready to step deeper into the shade?If Fifty Shades of Grey has left you aching to expand your BDSM repertoire, the experts on erotic romance have ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/12-shades-of-surrender/9780778314943_cover/419926070-1-eng-CA/9780778314943_cover_coverbookpage_embed.jpg
7,Canadian,13 Lives,Michael Pawlowski,"With stories that chronicle the abused, the homeless, the suicidal, those seeking a world away from the reserve, and those returning to the indigenous ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/13-lives/9781988098456_cover/278324835-1-eng-CA/9781988098456_cover_coverbookpage_embed.jpg
8,Canadian,13 Ways of Looking at a Fat Girl,Mona Awad,Winner of the Amazon.ca First Novel AwardShortlisted for the Scotiabank Giller PrizeLonglisted for the 2017&nbsp;Stephen Leacock Memorial Medal for Humour ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/13-ways-of-looking-at-a-fat-girl/9780143194798_cover/419680171-1-eng-CA/9780143194798_cover_coverbookpage_embed.jpg
9,Canadian,150 Years of Stats Canada!,Stats Canada,"Canada's funniest online sensation is back to celebrate the country's 150th anniversary--bigger, bolder, and only 10% reused material!Want to know what the ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/150-years-of-stats-canada/9780735232808_cover/382047201-1-eng-CA/9780735232808_cover_coverbookpage_embed.jpg
10,Canadian,1978,Daniel Jones,"In this violent, raw, and often beautiful novel, Daniel Jones captures the long-vanished Toronto where a broke teen punk could buy a beer with a two-dollar ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/1978/9780986638800_cover/210755119-1-eng-CA/9780986638800_cover_coverbookpage_embed.jpg
11,Canadian,1979,Ray Robertson,"It’s 1979 and Tom Buzby is thirteen years old and living in the small working- class city of Chatham, Ontario. So far, so normal. Except that Tom’s dad is ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/19793/9781771960960_cover/300017465-1-eng-CA/9781771960960_cover_coverbookpage_embed.jpg
12,Canadian,19 Knives,Mark Jarman,"With characters ranging from the desperate to the obsessive to the wildly comic, Mark Anthony Jarman's 19 Knives employs dazzling linguistic verve and ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/19-knives2/9780887848025_cover/420412912-1-eng-CA/9780887848025_cover_coverbookpage_embed.jpg
13,Canadian,1 Hour Photo,Tetsuro Shigematsu,"From the award-winning Canadian playwright, performer, and radio broadcaster Tetsuro Shigematsu comes 1 Hour Photo, the follow-up to his acclaimed one-man play ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/1-hour-photo/9781772012156_cover/415564465-1-eng-CA/9781772012156_cover_coverbookpage_embed.jpg
14,Canadian,2113,Kevin J. Anderson,"18 exhilarating journeys into Rush-inspired worldsThe music of Rush, one of the most successful bands in history, is filled with fantastic stories, evocative ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/2113/9781770412927_cover/332410585-1-eng-CA/9781770412927_cover_coverbookpage_embed.jpg
15,Canadian,26 Knots,Bindu Suresh,"Grand in scope, spare in execution, and lush in language, 26 Knots is a fable-like tale of love, obsession, and everything in between. Araceli loves Adrien. ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/26-knots/9781988784243_cover/423002179-1-eng-CA/9781988784243_cover_coverbookpage_embed.jpg
16,Canadian,2Instruction Manual for Swallowing,Adam Marek,"Exploring what happens when ordinary people collide with bizarre, fantastical situations, this collection of 14 short stories presents an engaging new voice in ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/2instruction-manual-for-swallowing/9781770410800_cover/90219450-1-eng-CA/9781770410800_cover_coverbookpage_embed.jpg
17,Canadian,419,Will Ferguson,"From internationally bestselling travel writer Will Ferguson, author of Happiness™ and Spanish Fly, comes a novel both epic in its sweep and intimate in its ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/419/9780670064717_cover/183263139-1-eng-CA/9780670064717_cover_coverbookpage_embed.jpg
18,Canadian,47 Sorrows,Janet Kellough,"In this third novel in the series, Thaddeus Lewis and his son journey into the heart of disaster.When the bloated corpse of a man dressed in women’s clothing ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/47-sorrows2/9781459709287_author/425135464-1-eng-CA/9781459709287_author_coverbookpage_embed.jpg
19,Canadian,5000 Dead Ducks,CD Evans,"Set in the fictional land of Alberia, 5000 Dead Ducks is about Mavis Wong, an enviro-science graduate who finds herself teamed up with a group of unscrupulous ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/5000-dead-ducks/9780968975442_cover/371037382-1-eng-CA/9780968975442_cover_coverbookpage_embed.jpg
20,Canadian,59 Glass Bridges,Steven Peters,"In 59 Glass Bridges, an unnamed narrator travels through a maze that is at once mutable and immutable: walls fall to vine-filled forests, hallways to rivers, ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/59-glass-bridges/9781926455785_cover/369705906-1-eng-CA/9781926455785_cover_coverbookpage_embed.jpg
21,Canadian,74 Miles Away,J.D. Carpenter,"Long-listed for the 2009 ReLit Award Because business is slow for retired homicide detective Campbell Young’s new enterprise, A-1 Investigative ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/74-miles-away/9781550026498_cover/425405690-1-eng-CA/9781550026498_cover_coverbookpage_embed.jpg
22,Canadian,7 Good Reasons Not To Be Good,John Gould,"Seven Good Reasons Not to Be Good opens with a cryptic postcard from forty-something Matt to his oldest friend, Zane. Zane is dying -- for &quot;good&quot; -- but Matt's ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/7-good-reasons-not-to-be-good/9781554686322_cover/122659649-1-eng-CA/9781554686322_cover_coverbookpage_embed.jpg
23,Canadian,7 Ways to Sunday,Lee Kvern,Lee Kvern's much-anticipated new collection contains stories which revolve around humanity in all its flawed glory: an artist's girlfriend dies by mistake; a ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/7-ways-to-sunday/9781926531854_cover/421579601-1-eng-CA/9781926531854_cover_coverbookpage_embed.jpg
24,Canadian,88,Michael Fletcher,"The dream of Artificial Intelligence is dead and the human mind is now the ultimate processing machine. Demand is high, but few are willing to sacrifice their ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/882/9781927400234_cover/115525518-1-eng-CA/9781927400234_cover_coverbookpage_embed.jpg
25,Canadian,8 X 10,Michael Turner,"Shockingly original and intensely intelligent, 8 × 10 is a series of snapshots of a world torn apart by war and migration.Fearless in form, Michael Turner’s ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/8-x-102/9780385665933_cover/131292581-1-eng-CA/9780385665933_cover_coverbookpage_embed.jpg
26,Canadian,Étienne's Alphabet,James King,"To all who knew him, Étienne Morneau lived unremarkably. Raised in an orphanage, his parents unknown, people considered him reserved, unfeeling, and ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/etienne-s-alphabet/9781897151877_cover/344864281-1-eng-CA/9781897151877_cover_coverbookpage_embed.jpg
27,Canadian,A,André Alexis,"A is a work of fiction in which André Alexis presents the compelling narrative of Alexander Baddeley, a Toronto book reviewer obsessed with the work of the ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a/9781927040799_cover/340647402-1-eng-CA/9781927040799_cover_coverbookpage_embed.jpg
28,Canadian,Aaron,Yves Theriault,"W. Donald Wilson and Paul G. Socken’s translation of Aaron, by Québécois author Yves Thériault, makes this fine novel available in English for the first ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/aaron/9781554580026_cover/420419305-1-eng-CA/9781554580026_cover_coverbookpage_embed.jpg
29,Canadian,A Baby by Easter & A Family for Summer,Lois Richer,Author Lois Richer brings you two stories of love and faithA Baby by Easter Susannah Wells and her unborn baby have nowhere to turn. So when she encounters ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-baby-by-easter-a-family-for-summer/9780373208548_cover/423720196-1-eng-CA/9780373208548_cover_coverbookpage_embed.jpg
30,Canadian,A Baby for Christmas,Linda Ford,"From Pregnant Widow to Cowboy's Bride&nbsp;For widow Louise Porter, a temporary marriage to cowboy Nate Hawkins seems the only solution to protect her unborn child. ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-baby-for-christmas2/9780373283347_cover/423982639-1-eng-CA/9780373283347_cover_coverbookpage_embed.jpg
31,Canadian,A Bargain with the Boss,Barbara Dunlop,"With her boss, it's all work and all pleasure! Only from New York Times bestselling author Barbara Dunlop!&nbsp;For years, Tuck Tucker has played the role of ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-bargain-with-the-boss2/9780373734535_cover/419966470-1-eng-CA/9780373734535_cover_coverbookpage_embed.jpg
32,Canadian,Abattoir Blues,Peter Robinson,"Canada's premier, bestselling crime fiction writer, Peter Robinson gets better and better. The twenty-second book in the much-loved Inspector Banks series -- ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/abattoir-blues/9780771076428_cover/247271163-1-eng-CA/9780771076428_cover_coverbookpage_embed.jpg
33,Canadian,Abby's Journey,Steena Holmes,"Twenty-year-old Abigail Turner has only known her mother, Claire—who died shortly after she was born—through letters, videos, postcards, and journals. ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/abby-s-journey/9781503940321_cover/263385852-1-eng-CA/9781503940321_cover_coverbookpage_embed.jpg
34,Canadian,A Beautiful Truth,Colin McAdam,"&nbsp; A novel about the simple truths that transcend species, about the meaning of family, the lure of belonging, and the capacity for survival   Walt and Judy are ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-beautiful-truth/9780670066360_cover/313087032-1-eng-CA/9780670066360_cover_coverbookpage_embed.jpg
35,Canadian,A Beauty,Connie Gault,A spellbinding and highly original novel that gives a new name to the Prairie Novel by one of the most exciting new literary voices in Canada. For readers of ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-beauty/9780771036552_cover/206167930-1-eng-CA/9780771036552_cover_coverbookpage_embed.jpg
36,Canadian,A Beckoning War,Matthew Murphy,"Winner: 2016 Foreword Reviews INDIES, Silver, War and Military (Adult Fiction) Captain Jim McFarlane, a Canadian infantry officer, is coming apart at the seams. ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-beckoning-war/9781771860680_cover/256120259-1-eng-CA/9781771860680_cover_coverbookpage_embed.jpg
37,Canadian,A Better Man,Louise Penny,"“‘A Better Man,' with its mix of meteorological suspense, psychological insight and criminal pursuit, is arguably the best book yet in an outstanding, ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-better-man2/9781250066213_cover/421900645-1-eng-CA/9781250066213_cover_coverbookpage_embed.jpg
38,Canadian,A Bird in the House,Margaret Laurence,"One of Canada’s most accomplished authors combines the best qualities of both the short story and the novel to create a lyrical evocation of the beauty, ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-bird-in-the-house2/9780771046261_cover/206133546-1-eng-CA/9780771046261_cover_coverbookpage_embed.jpg
39,Canadian,A Bird on Every Tree,Carol Bruneau,"Carol Bruneau, author of six acclaimed works of fiction (most recently, These Good Hands), brings her finely honed voice to 12 new stories about shifting ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-bird-on-every-tree/9781771085021_cover/365623330-1-eng-CA/9781771085021_cover_coverbookpage_embed.jpg
40,Canadian,A Bird's Eye,Cary Fagan,"Shortlisted for the Rogers Writers' Trust Fiction Prize, and selected as an Amazon.ca Best Book.With all the wonder of a small-scale The Amazing Adventures of ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-bird-s-eye2/9781770893108_cover/374339137-1-eng-CA/9781770893108_cover_coverbookpage_embed.jpg
41,Canadian,Able Muse Anthology,Alexander Pepple,"The Able Muse Anthology — from the new Able Muse Press — celebrates Able Muse’s journey through its first decade and beyond, by showcasing the best of ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/able-muse-anthology/9780986533808_cover/96779299-1-eng-CA/9780986533808_cover_coverbookpage_embed.jpg
42,Canadian,"Able Muse - a review of poetry, prose and art",Alexander Pepple,"This is the seminannual Able Muse Review (Print Edition) - Summer, 2011 issue. This issue continues the tradition of masterfully crafted poetry, fiction, ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/able-muse-a-review-of-poetry-prose-and-art/9780986533853_cover/108970163-1-eng-CA/9780986533853_cover_coverbookpage_embed.jpg
43,Canadian,A Blessed Snarl,Samuel Martin,"Patrick Wiseman moved his wife and son back to Newfoundland to start a new Pentecostal church, but when his wife Anne leaves him for a man she meets on ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-blessed-snarl/9781550813814_cover/414408178-1-eng-CA/9781550813814_cover_coverbookpage_embed.jpg
44,Canadian,A Blue Spruce Christmas,Brian Fawcett,"Set in 1957, A Blue Spruce Christmas reminds us what it was like to grow up in small town Canada during the Cold War. Set against the backdrop of the ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-blue-spruce-christmas/9781897151945_cover/134770432-1-eng-CA/9781897151945_cover_coverbookpage_embed.jpg
45,Canadian,Ablutions,Patrick deWitt,"From the author of the award-winning The Sisters Brothers comes a dark, boozy, and hilarious tale from the LA underworld.A nameless barman tends a decaying bar ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/ablutions/9781770892149_cover/423223219-1-eng-CA/9781770892149_cover_coverbookpage_embed.jpg
46,Canadian,A Book of Great Worth,Dave Margoshes,"Set largely among the Jewish community of inter-war New York City, this is a beautifully-told collection of scenes from Morgenstern's life. The tricky ground ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-book-of-great-worth/9781550504767_cover/304187274-1-eng-CA/9781550504767_cover_coverbookpage_embed.jpg
47,Canadian,A Borrowing of Bones,Paula Munier,"The first in a gripping new series by Paula Munier,A Borrowing of Bones is full of complex twists, introducing a wonderful new voice for mystery readers and ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-borrowing-of-bones/9781250153036_cover/313808541-1-eng-CA/9781250153036_cover_coverbookpage_embed.jpg
48,Canadian,A Bounty of Evil,Markus Matthews,"Air elemental Zack Stevens is on a roll. His bounty-hunting business is thriving, he’s survived a battle with a master vampire, and he’s taken on four new ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-bounty-of-evil/9780228819097_cover/405903723-1-eng-CA/9780228819097_cover_coverbookpage_embed.jpg
49,Canadian,A Bounty with Strings,Markus Matthews,"It’s been six years since the Hamilton Hurricane patrolled the skies above Hamilton, Ontario. The thirty-three-year-old once used his elemental powers of Air ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-bounty-with-strings2/9780228819127_cover/406083945-1-eng-CA/9780228819127_cover_coverbookpage_embed.jpg
50,Canadian,About Love,Anton Chekhov,"Written in France toward the end of his career, these stories are Chekhov's only attempt at the linked collection. The first is a grotesque Gogolian comedy; ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/about-love/9781926845425_cover/90201539-1-eng-CA/9781926845425_cover_coverbookpage_embed.jpg
51,Canadian,Above All Things,Tanis Rideout,"The Paris Wife meets Into Thin Air in this breathtaking debut novel of obsession and divided loyalties, which brilliantly weaves together the harrowing story ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/above-all-things/9780771076350_cover/193206963-1-eng-CA/9780771076350_cover_coverbookpage_embed.jpg
52,Canadian,Above the Reich,David Chaundy-Smart,"In the 1930s, a promising young alpinist from Munich struggles to stay above the fray and the base instincts of the valley that threaten to destroy all that he ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/above-the-reich/9780991807673_cover/321293056-1-eng-CA/9780991807673_cover_coverbookpage_embed.jpg
53,Canadian,A Boy of Good Breeding,Miriam Toews,From the acclaimed Giller Prize Finalist and Governor General’s Award Winner: a delightfully funny and charming second novel about Canada’s smallest town. ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-boy-of-good-breeding3/9780735274587_cover/412527614-1-eng-CA/9780735274587_cover_coverbookpage_embed.jpg
54,Canadian,A Breath of Snow and Ashes,Diana Gabaldon,"Eagerly anticipated by her legions of fans, this sixth novel in Diana Gabaldon’s bestselling Outlander saga is a masterpiece of historical fiction from one ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-breath-of-snow-and-ashes2/9780770427993_cover/89064963-1-eng-CA/9780770427993_cover_coverbookpage_embed.jpg
55,Canadian,A Brewski for the Old Man,Phyllis Smallman,"In the third Sherri Travis mystery, Phyllis Smallman returns to Jacaranda, Florida and the Sunset Bar. Ray John Leenders, the brutal man who tried to rape ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-brewski-for-the-old-man/9781552788363_cover/93236939-1-eng-CA/9781552788363_cover_coverbookpage_embed.jpg
56,Canadian,A Bride by Christmas,Jo Beverley,"Home for Christmas by Heather GrahamIt broke Travis's heart to see Isabelle go, but he was the Yankee captain who had commandeered her home and she was a ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-bride-by-christmas/9780373773435_cover/419966175-1-eng-CA/9780373773435_cover_coverbookpage_embed.jpg
57,Canadian,A Bridge of Years,Robert Charles Wilson,Tom Winter thought the secluded cottage in the Pacific Northwest would be the perfect refuge—a place to nurse the wounds of lost love and happiness. But Tom ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-bridge-of-years/9780765327420_cover/422405057-1-eng-CA/9780765327420_cover_coverbookpage_embed.jpg
58,Canadian,A Brightness Long Ago,Guy Gavriel Kay,From the internationally bestselling author of Tigana and The Lions of Al-Rassan comes a masterful new novel set in a vivid world evoking early Renaissance ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-brightness-long-ago/9780670068708_cover/398432264-1-eng-CA/9780670068708_cover_coverbookpage_embed.jpg
59,Canadian,Absolution,Patrick Flanery,"Told in shifting perspectives, Absolution revolves around the mysterious Clare Wald, a controversial writer and critic of great fame, now a recluse behind the ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/absolution/9780307401281_cover/385325403-1-eng-CA/9780307401281_cover_coverbookpage_embed.jpg
60,Canadian,"Abundance of the Infinite, The",Christopher Canniff,"Tormented by his wife's decision to abort their child, a psychologist travels to a small coastal fishing town in South America to distance himself from the ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/abundance-of-the-infinite-the/9781927443071_cover/400243565-1-eng-CA/9781927443071_cover_coverbookpage_embed.jpg
61,Canadian,A Cadence Creek Christmas,Donna Alward,It's Christmas in Donna Alward's Cadence Creek?&nbsp;Taylor Shepard has come to Cadence Creek to organize her brother's Christmas wedding. Organizing such a special ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-cadence-creek-christmas2/9780373742660_cover/420131485-1-eng-CA/9780373742660_cover_coverbookpage_embed.jpg
62,Canadian,A Case of You,Rick Blechta,"&quot;She had a voice like an angel, smooth and complex as a twenty-year-old single malt, rich as thick cream. Everyone who heard Olivia sing felt as if she could ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-case-of-you/9781894917681_cover/425330653-1-eng-CA/9781894917681_cover_coverbookpage_embed.jpg
63,Canadian,A Cast of Falcons,Steve Burrows,"The threat from above casts a dark shadow.A man falls to his death from a cliff face in western Scotland. From a distance, another man watches. He approaches ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-cast-of-falcons/9781459732148_author/425125561-1-eng-CA/9781459732148_author_coverbookpage_embed.jpg
64,Canadian,Accidental Commando,Ingrid Weaver,A Caribbean island…a honeymoon suite…sexy lingerie. Emily Wright has everything for the perfect honeymoon—except a husband! Although her nuptials are ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/accidental-commando2/9780373276844_cover/419943028-1-eng-CA/9780373276844_cover_coverbookpage_embed.jpg
65,Canadian,Accidental Eyewitness,Michelle Karl,"In a killer’s sights…a lawman at her sideA Mountie Brotherhood storyAfter Ellen Biers witnesses a theft turned homicide, the killer targets her. But her ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/accidental-eyewitness/9781335490568_cover/423987138-1-eng-CA/9781335490568_cover_coverbookpage_embed.jpg
66,Canadian,Accordéon,Kaie Kellough,"Finalist for the 2017 Amazon.ca First Novel AwardAccordéon is an experimental novel, a piercing deconstruction of Québécois culture, an ode to Montréal--a ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/accordeon/9781894037839_cover/406754818-1-eng-CA/9781894037839_cover_coverbookpage_embed.jpg
67,Canadian,Accounting for Crime,Richard King,"Robert Scroyle C.A., is the senior partner at Scroyle, Caitiff, Rudisbe and Spavin. He is married, has a girlfriend or two and is no stranger to a shady tax ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/accounting-for-crime2/9781926716077_cover/95641415-1-eng-CA/9781926716077_cover_coverbookpage_embed.jpg
68,Canadian,Accusation,Catherine Bush,"Selected as an Amazon.ca Best Book of 2013, a Canada Reads Top 40 Pick, and a NOW Magazine Book of the YearWhile in Copenhagen, Sara Wheeler, a Toronto ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/accusation/9780864929006_cover/399932365-1-eng-CA/9780864929006_cover_coverbookpage_embed.jpg
69,Canadian,A Chance for the Rancher,Brenda Harlen,Would you take a risk on a cowboy’s kiss?Dating a single mom? Patrick Stafford would never break that rule…Patrick Stafford trades his suit for a Stetson ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-chance-for-the-rancher2/9781335894366_cover/423782216-1-eng-CA/9781335894366_cover_coverbookpage_embed.jpg
70,Canadian,A Changed Heart,May Agnes Fleming,"Romance, suspense, and murder provide the backdrop for this Gothic novel set in mid-Victorian Saint John, New Brunswick, by 19th-century writer May Agnes ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-changed-heart2/9781459503731_cover/424995078-1-eng-CA/9781459503731_cover_coverbookpage_embed.jpg
71,Canadian,A Child Changes Everything,Stella MacLean,"What do you do when you find out your whole life has been a lie? First the birth mother you believed was dead is, in fact, alive. Then you discover you have a ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-child-changes-everything3/9780373716555_cover/420168977-1-eng-CA/9780373716555_cover_coverbookpage_embed.jpg
72,Canadian,A Choir of Crows,Candace Robb,"When two bodies are discovered in the grounds of York Minster shortly before the enthronement of the new archbishop, Owen Archer is summoned to investigate. ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-choir-of-crows/9781780291260_cover/420555442-1-eng-CA/9781780291260_cover_coverbookpage_embed.jpg
73,Canadian,A Christmas Seduction,Daire St. Denis,Her first real Christmas &nbsp;Her first real cowboy?&nbsp;Journalist Jolie Duval has escaped her killjoy family in order to enjoy a real down-home Christmas in Montana. ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-christmas-seduction2/9780373799268_cover/419970303-1-eng-CA/9780373799268_cover_coverbookpage_embed.jpg
74,Canadian,A Chronicle of Magpies,Bruce Meyer,"This collection examines the serendipity and spontaneity of history through stories about love, family, and art. Bruce Meyers offers a view that is both ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-chronicle-of-magpies/9781926639741_cover/272505735-1-eng-CA/9781926639741_cover_coverbookpage_embed.jpg
75,Canadian,A Circle on the Surface,Carol Bruneau,"It's 1943. Enman and Una Greene are newly married. Each is haunted by their respective pasts, and each harbours secrets. They have hopes of a happy life ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-circle-on-the-surface/9781771085922_cover/415682991-1-eng-CA/9781771085922_cover_coverbookpage_embed.jpg
76,Canadian,A City Girl,Margaret Harkness,"In April 1888, Friedrich Engels wrote a letter to the English novelist and journalist Margaret Harkness, expressing his appreciation for her first novel, A ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-city-girl/9781554812707_cover/425638041-1-eng-CA/9781554812707_cover_coverbookpage_embed.jpg
77,Canadian,A Colder Kind of Death,Gail Bowen,"When a prisoner is shot to death in the exercise yard of a Saskatchewan penitentiary, Joanne Kilbourn finds herself haunted by a part of her past she wished ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-colder-kind-of-death/9780771013171_cover/385316841-1-eng-CA/9780771013171_cover_coverbookpage_embed.jpg
78,Canadian,A Cold Night for Alligators,Nick Crowe,"A thrilling Knopf New Face of Fiction debut, A Cold Night for Alligators takes the reader on a breathtaking ride through the seedy, sensual Florida Everglades, ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-cold-night-for-alligators/9780307399694_cover/181952366-1-eng-CA/9780307399694_cover_coverbookpage_embed.jpg
79,Canadian,A Cold Season In Shanghai,S.P. Hozy,"A time of turmoil, when destinies were forged… In this searing historical novel by Toronto author S.P. Hozy, set amid the turmoil of early twentieth century ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-cold-season-in-shanghai/9781894917797_cover/425045937-1-eng-CA/9781894917797_cover_coverbookpage_embed.jpg
80,Canadian,A Cold White Fear,R.J. Harlick,"Stranded by a blizzard at her isolated cabin, Meg Harris, an escapee from a failed marriage into the remote wilderness, finds herself in a desperate and ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-cold-white-fear2/9781459731998_author/425298601-1-eng-CA/9781459731998_author_coverbookpage_embed.jpg
81,Canadian,A Complicated Kindness,Miriam Toews,"Sixteen-year-old Nomi Nickel longs to hang out with Lou Reed and Marianne Faithfull in New York City’s East Village. Instead she’s trapped in East Village, ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-complicated-kindness2/9780676978568_cover/335907433-1-eng-CA/9780676978568_cover_coverbookpage_embed.jpg
