title_url,title,authors,image,description
https://49thshelf.com/Books/D/Downshift3,Downshift,Matt Hughes,https://images.49thshelf.com/var/ezflow_site/storage/images/books/d/downshift3/9781927400074_cover/193059754-1-eng-CA/9781927400074_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/9/01-Winter-Haven,01 Winter Haven,Mell Mckenzie,,
https://49thshelf.com/Books/K/Kafka-s-Hat,Kafka's Hat,Chantal Bilodeau,https://images.49thshelf.com/var/ezflow_site/storage/images/books/k/kafka-s-hat/9780889227439_cover/117044073-1-eng-CA/9780889227439_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/G/Growing-Up-Bronx2,Growing Up Bronx,Henry A Hargreaves,https://images.49thshelf.com/var/ezflow_site/storage/images/books/g/growing-up-bronx2/9781927400005_cover/115531530-1-eng-CA/9781927400005_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/A/A-Subtle-Thing,A Subtle Thing,Alicia Hendley,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-subtle-thing/9780986542701_cover/115531157-1-eng-CA/9780986542701_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/S/Shadow-Song2,Shadow Song,Lorina Stephens,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/shadow-song2/9780973927818_cover/120416382-1-eng-CA/9780973927818_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/I/Immunity-to-Strange-Tales2,Immunity to Strange Tales,Susan J. Forest,https://images.49thshelf.com/var/ezflow_site/storage/images/books/i/immunity-to-strange-tales2/9781927400142_cover/115530133-1-eng-CA/9781927400142_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/B/Broken-Blade2,Broken Blade,Ann Marston,https://images.49thshelf.com/var/ezflow_site/storage/images/books/b/broken-blade2/9781927400470_cover/115524609-1-eng-CA/9781927400470_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Runner-and-the-Wizard,The Runner and the Wizard,Dave Duncan,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-runner-and-the-wizard/9781927400395_cover/115526876-1-eng-CA/9781927400395_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/F/From-Mountains-of-Ice2,From Mountains of Ice,Lorina Stephens,https://images.49thshelf.com/var/ezflow_site/storage/images/books/f/from-mountains-of-ice2/9780973927856_cover/120425785-1-eng-CA/9780973927856_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/B/Basement-Suite,Basement Suite,Susan Farrell,https://images.49thshelf.com/var/ezflow_site/storage/images/books/b/basement-suite/9781897009413_cover/365144045-1-eng-CA/9781897009413_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/U/Untitled3,Untitled,Robert Rotenberg,,
https://49thshelf.com/Books/T/The-God-is-Not-Willing,The God is Not Willing,Steven Erikson,,
https://49thshelf.com/Books/T/The-Relatives,The Relatives,Camilla Gibb,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-relatives/9780385678094_cover/422466993-1-eng-CA/9780385678094_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Opium-Prince,The Opium Prince,Jasmine Aimaq,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-opium-prince/9781641291583_cover/422430522-1-eng-CA/9781641291583_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/A/A-Choir-of-Crows,A Choir of Crows,Candace Robb,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-choir-of-crows/9781780291260_cover/420555442-1-eng-CA/9781780291260_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/A/An-Irish-Country-Welcome,An Irish Country Welcome,Patrick Taylor,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/an-irish-country-welcome/9781250257307_cover/422393243-1-eng-CA/9781250257307_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/C/Consent2,Consent,Annabel Lyon,https://images.49thshelf.com/var/ezflow_site/storage/images/books/c/consent2/9780345811455_cover/422490681-1-eng-CA/9780345811455_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/A/All-the-Devils-Are-Here,All the Devils Are Here,Louise Penny,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/all-the-devils-are-here/9781250145239_cover/422073354-1-eng-CA/9781250145239_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Unlocking-Season,The Unlocking Season,Gail Bowen,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-unlocking-season/9781770415287_cover/415317980-1-eng-CA/9781770415287_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Residence3,The Residence,Andrew Pyper,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-residence3/9781982149055_cover/425551428-1-eng-CA/9781982149055_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/I/Indians-on-Vacation3,Indians on Vacation,Thomas King,https://images.49thshelf.com/var/ezflow_site/storage/images/books/i/indians-on-vacation3/9781443460545_cover/424320550-1-eng-CA/9781443460545_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/U/Under-Pressure5,Under Pressure,Robert Pobi,https://images.49thshelf.com/var/ezflow_site/storage/images/books/u/under-pressure5/9781250293961_cover/421831992-1-eng-CA/9781250293961_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Night-Piece,The Night Piece,André Alexis,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-night-piece/9780771006630_cover/407366185-1-eng-CA/9780771006630_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/E/Every-Step-She-Takes,Every Step She Takes,K.L. Armstrong,https://images.49thshelf.com/var/ezflow_site/storage/images/books/e/every-step-she-takes/9780385695787_cover/421015668-1-eng-CA/9780385695787_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/O/Or-What-You-Will,Or What You Will,Jo Walton,https://images.49thshelf.com/var/ezflow_site/storage/images/books/o/or-what-you-will/9781250308993_cover/421929797-1-eng-CA/9781250308993_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Heretic2,The Heretic,Allysha Lavion,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-heretic2/9781940468853_cover/421781902-1-eng-CA/9781940468853_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Living-Dead,The Living Dead,George A. Romero,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-living-dead/9781250305121_cover/421891068-1-eng-CA/9781250305121_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/P/Postmark-Berlin,Postmark Berlin,Anne Emery,https://images.49thshelf.com/var/ezflow_site/storage/images/books/p/postmark-berlin/9781770413870_cover/425585220-1-eng-CA/9781770413870_cover_coverbookpage_embed.jpg,
