title,authors,image,description
A Thing You'll Never Do,David Gilmour,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-thing-you-ll-never-do/9781771962773_cover/400207864-1-eng-CA/9781771962773_cover_coverbookpage_embed.jpg,"When his neighbor asks how he acquired a signed copy of Jimmy Carter’s memoir, Roman begins not with his father, the much-celebrated radio broadcaster to ..."
A Thoroughly Wicked Woman,Betty Keller,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-thoroughly-wicked-woman/9781894759489_cover/419833662-1-eng-CA/9781894759489_cover_coverbookpage_embed.jpg,"On a foggy evening in November 1905, 48-year-old Thomas Jackson returned to his home on Melville Street in Vancouver after nine months of prospecting north of ..."
A Thousand Splendid Suns,Khaled Hosseini,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-thousand-splendid-suns/9780670064915_cover/27830292-1-eng-CA/9780670064915_cover_coverbookpage_embed.jpg,"After more than two years on the bestseller lists and over four million copies in print, Khaled Hosseini returns with a beautiful, riveting, and haunting novel ..."
A Thousand Splendid Suns,Khaled Hosseini,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-thousand-splendid-suns2/9780670064083_cover/27833056-1-eng-CA/9780670064083_cover_coverbookpage_embed.jpg,"Since its publication in 2007, A Thousand Splendid Suns has shipped over three million copies. The bestselling adult novel of 2007, it spent fifteen weeks at ..."
A Thousand Splendid Suns,Khaled Hosseini,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-thousand-splendid-suns3/9780143054405_cover/27857958-1-eng-CA/9780143054405_cover_coverbookpage_embed.jpg,"After more than two years on the bestseller lists and over four million copies in print, Khaled Hosseini returns with a beautiful, riveting, and haunting novel ..."
A Three-Tiered Pastel Dream,Lesley Trites,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-three-tiered-pastel-dream/9781550654646_cover/391453598-1-eng-CA/9781550654646_cover_coverbookpage_embed.jpg,A career-focused woman finds her life taken off course by an unexpected pregnancy and its challenging aftermath; a troubled doctor abandons her family on her ...
A Tiding of Magpies,Steve Burrows,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-tiding-of-magpies/9781459737617_author/424585913-1-eng-CA/9781459737617_author_coverbookpage_embed.jpg,"It is in the silent spaces between the facts that the truth often lies.When his most celebrated case is suddenly reopened, Detective Chief Inspector ..."
Atmospheric Disturbances,Rivka Galchen,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/atmospheric-disturbances/9781554680559_cover/424227592-1-eng-CA/9781554680559_cover_coverbookpage_embed.jpg,"While everyone else may be fooled, psychiatrist Leo Liebenstein knows better. His wife is not his wife. She is a dead-ringer—a doppelganger—but something ..."
A Token of My Affliction,Janette Platana,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-token-of-my-affliction/9781926639758_cover/166234565-1-eng-CA/9781926639758_cover_coverbookpage_embed.jpg,"Nominee: 2015 Frank O'Connor International Short Story Prize  These cheerfully disturbing, gleefully outraged, and chillingly beautiful stories break open ..."
Atomic Road,Grant Buday,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/atomic-road/9781772141139_cover/423163754-1-eng-CA/9781772141139_cover_coverbookpage_embed.jpg,"Art critic Clement Greenberg, champion of abstract expressionism, is more interested in silencing his rival Harold Rosenberg than with the threat of nuclear ..."
Atomic Storybook,Ed Macdonald,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/atomic-storybook/9781927380437_cover/421692667-1-eng-CA/9781927380437_cover_coverbookpage_embed.jpg,Atomic Storybook is a novel about a young painter named Owen who is regularly abducted by beings he calls &quot;the space pricks.&quot; These otherworldly visitors ...
Atonement,Gaetan Soucy,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/atonement/9780887847806_cover/420784495-1-eng-CA/9780887847806_cover_coverbookpage_embed.jpg,"Atonement is Sheila Fischman's translation of Gaetan Soucy's brilliant novel, originally published in French as L'Acquittement. Twenty years after leaving the ..."
A Touch of Poison,Aaron Kite,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-touch-of-poison/9781927400609_cover/145740421-1-eng-CA/9781927400609_cover_coverbookpage_embed.jpg,"Gwenwyn is the most miserable princess ever, and for good reason. Merely brushing up against her or touching her exposed skin is enough to cause painful burns, ..."
Atracción incontrolable,Barbara Dunlop,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/atraccion-incontrolable/9780373357642_cover/420154751-1-eng-CA/9780373357642_cover_coverbookpage_embed.jpg,Iba a transformarla en la belleza que él había descubierto en privadoEl millonario Hunter Osland no podía creer que una de las empleadas de la empresa que ...
ATRACCIÓN IRRESISTIBLE,Donna Alward,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/atraccion-irresistible/9780373684458_cover/420264777-1-eng-CA/9780373684458_cover_coverbookpage_embed.jpg,"Buscaba una vida tranquila? y se enamoró de un agente de la leyMaggie Taylor quería una vida sencilla, ordenada y sin riesgos? hasta que abrió la puerta de ..."
A Traveler's Tale,Byron Ayanoglu,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-traveler-s-tale/9781897190920_cover/320683407-1-eng-CA/9781897190920_cover_coverbookpage_embed.jpg,"The Traveler's Tale begins in a small village in Turkey where the protagonist, Jefferson Cooper, finds himself (despite himself ). He has no idea why he is ..."
A Traveler's Tale,Byron Ayanoglu,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-traveler-s-tale2/9781897190937_cover/320774055-1-eng-CA/9781897190937_cover_coverbookpage_embed.jpg,"The Traveler's Tale begins in a small village in Turkey where the protagonist, Jefferson Cooper, finds himself (despite himself ). He has no idea why he is ..."
A Trial in Venice,Roberta Rich,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-trial-in-venice/9780385676694_cover/240441344-1-eng-CA/9780385676694_cover_coverbookpage_embed.jpg,"The thrilling conclusion to the #1 national bestselling historical trilogy by Roberta Rich.In The Midwife of Venice, set in 1575, Hannah Levi was forced to ..."
A Trial in Venice,Roberta Rich,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-trial-in-venice/9780385676694_cover/368359291-1-eng-CA/9780385676694_cover_coverbookpage_embed.jpg,"The thrilling conclusion to the #1 national bestselling historical trilogy by Roberta Rich.In The Midwife of Venice, set in 1575, Hannah Levi was forced to ..."
A Trick of the Light,Louise Penny,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-trick-of-the-light/9780312655457_cover/422408187-1-eng-CA/9780312655457_cover_coverbookpage_embed.jpg,ANew York Times Notable Crime Book and Favorite Cozy for 2011APublishers Weekly Best Mystery/Thriller books for 2011&quot;Penny has been compared to Agatha ...
A Trick of the Light,Louise Penny,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-trick-of-the-light2/9781250007346_cover/422310247-1-eng-CA/9781250007346_cover_coverbookpage_embed.jpg,ANew York Times Notable Crime Book and Favorite Cozy for 2011APublishers Weekly Best Mystery/Thriller books for 2011&quot;Penny has been compared to Agatha ...
Attack of the Lonely Hearts,Mark Wagstaff,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/attack-of-the-lonely-hearts/9781772141030_cover/249051392-1-eng-CA/9781772141030_cover_coverbookpage_embed.jpg,Everything is just a little more difficult for poor thirty-something Margaret Rudge. Adjusting to single life after her no-good husband Tommy leaves her for a ...
Attars,Carol  Sill,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/attars/9780978348595_cover/420519472-1-eng-CA/9780978348595_cover_coverbookpage_embed.jpg,"Meet the essence gatherer. Living in solitude in a driftwood cabin in the dunes, she enters the magic transformation of mythopoetic experience, and is shown ..."
At the Bottom of the Sky,Peter Dubé,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/at-the-bottom-of-the-sky/9781897190203_cover/321182324-1-eng-CA/9781897190203_cover_coverbookpage_embed.jpg,"Will Aitken, the editor of this collection of fictions, said in his recommendation for Dubé’s last novel, Hovering World, that it is “queer in all the ..."
At the Bottom of the Sky,Peter Dubé,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/at-the-bottom-of-the-sky2/9781897190197_author/321097130-1-eng-CA/9781897190197_author_coverbookpage_embed.jpg,"Will Aitken, the editor of this collection of fictions, said in his recommendation for Dubé’s last novel, Hovering World, that it is “queer in all the ..."
At the Mountain's Edge,Genevieve Graham,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/at-the-mountain-s-edge/9781501193392_cover/419440882-1-eng-CA/9781501193392_cover_coverbookpage_embed.jpg,"From bestselling author Genevieve Graham comes a sweeping new historical novel of love, tragedy, and redemption set during the height of the Klondike Gold ..."
At this Juncture,Rona Altrows,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/at-this-juncture/9781988098463_cover/278361923-1-eng-CA/9781988098463_cover_coverbookpage_embed.jpg,"Alarmed that Canada Post keeps losing money, Ariadne Jensen, a woman in her fifties, pitches the CEO with a scheme to save the corporation: she will get people ..."
A Twilight Celebration,Marie-Claire Blais,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-twilight-celebration/9781487002480_cover/420691849-1-eng-CA/9781487002480_cover_coverbookpage_embed.jpg,"Daniel, a middle-aged novelist and loving father alienated from one of his sons and unsure how to care for his daughter, is on his way to an international ..."
A Twist of Orchids,Michelle Wan,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-twist-of-orchids/9780385664851_cover/391957503-1-eng-CA/9780385664851_cover_coverbookpage_embed.jpg,"Third in the acclaimed “Death in the Dordogne” series.Winter in the Dordogne: delicious food, ruggedly beautiful scenery, unscrupulous orchid hunters, ..."
A Twist of Orchids,Michelle Wan,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-twist-of-orchids2/9780385664844_cover/95291304-1-eng-CA/9780385664844_cover_coverbookpage_embed.jpg,"Third in the acclaimed “Death in the Dordogne” series.Winter in the Dordogne: delicious food, ruggedly beautiful scenery, unscrupulous orchid hunters, ..."
Aubrey McKee,Alex Pugsley,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/aubrey-mckee/9781771963114_cover/420446795-1-eng-CA/9781771963114_cover_coverbookpage_embed.jpg,"I am from Halifax, salt-water city, a place of silted genius, sudden women, figures floating in all waters. “People from Halifax are all famous,” my ..."
Augustino and the Choir of Destruction,Marie-Claire Blais,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/augustino-and-the-choir-of-destruction/9780887847523_cover/398642100-1-eng-CA/9780887847523_cover_coverbookpage_embed.jpg,In Augustino and the Choir of Destruction literary legend and three-time winner of the Governor General's Literary Award Marie-Claire Blais delivers the third ...
Autant,Paulette Dube,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/autant/9781771871563_cover/289499590-1-eng-CA/9781771871563_cover_coverbookpage_embed.jpg,"“If heaven is full of angels like me, hell must be empty.” So begins Autant, a tale woven over the course of four days and fifty-four years, based on the ..."
Autobiography of Childhood,Sina Queyras,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/autobiography-of-childhood/9781552452523_cover/421098025-1-eng-CA/9781552452523_cover_coverbookpage_embed.jpg,A finalist for the 36th annual Amazon.ca First Novel Award!&nbsp;The Combals are not unacquainted with death: they have never quite recovered from the loss of one ...
Autobiography of Red,Anne Carson,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/autobiography-of-red3/9780771018138_cover/419576747-1-eng-CA/9780771018138_cover_coverbookpage_embed.jpg,"Now available from McClelland and Stewart, Anne Carson's internationally beloved novel in verse&nbsp;and &quot;one of the crossover classics of contemporary poetry&quot; (New ..."
Automatic World,Struan Sinclair,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/automatic-world/9780385664714_cover/172538985-1-eng-CA/9780385664714_cover_coverbookpage_embed.jpg,A stunning and fearless first novel from the Canadian author of the critically acclaimed Everything Breathed.Four strands spanning several generations are ...
Automatic World,Struan Sinclair,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/automatic-world2/9780385664707_cover/97668936-1-eng-CA/9780385664707_cover_coverbookpage_embed.jpg,A stunning and fearless first novel from the Canadian author of the critically acclaimed Everything Breathed.Four strands spanning several generations are ...
Autonomous,Annalee Newitz,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/autonomous/9780765392077_cover/331603941-1-eng-CA/9780765392077_cover_coverbookpage_embed.jpg,"&quot;Autonomous is to biotech and AI whatNeuromancerwas to the Internet.&quot;—Neal Stephenson&quot;Something genuinely and thrillingly new in the naturalistic, ..."
Autonomous,Annalee Newitz,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/autonomous2/9780765392084_cover/346364268-1-eng-CA/9780765392084_cover_coverbookpage_embed.jpg,"Autonomous is the highly anticipated debut from science journalist and founder of the science and sci-fi blog io9 Annalee Newitz, a novel that explores ..."
Autopsy of a Boring Wife,Marie-Renee Lavoie,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/autopsy-of-a-boring-wife/9781487004613_cover/422854942-1-eng-CA/9781487004613_cover_coverbookpage_embed.jpg,"Like a Québécois Bridget Jones’s Diary, Marie-Renée Lavoie’s Autopsy of a Boring Wife tells the hysterically funny and ultimately touching tale of ..."
Autumn Leaf,Ken Gervais,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/autumn-leaf/9781894717809_cover/286266983-1-eng-CA/9781894717809_cover_coverbookpage_embed.jpg,"Fort Nelson, British Columbia — Winter's coming, and after a tough summer with a highway crew, 54—year—old Victor has signed off as medic, with nowhere ..."
"Autumn, One Spring",Patti Grayson,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/autumn-one-spring/9780888013743_cover/271321643-1-eng-CA/9780888013743_cover_coverbookpage_embed.jpg,"Autumn Greene returns to her hometown after a six-year absence, uninvited to her sister Christine’s wedding, the daughter she conceived in a one-time ..."
Ava and the Little Folk,Neil Christopher,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/ava-and-the-little-folk2/9781927095089_cover/419701152-1-eng-CA/9781927095089_cover_coverbookpage_embed.jpg,"The most magical things can come in tiny packages! In the Arctic, tales of tiny people who live on the land abound. This children's story follows the ..."
Ava Comes Home,Lesley Crewe,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/ava-comes-home/9781551098609_cover/365242373-1-eng-CA/9781551098609_cover_coverbookpage_embed.jpg,"From the author of Relative Happiness and Shoot Me comes a riveting story about one terrible secret—a secret kept in shame, buried deep for ..."
Ava Comes Home,Lesley Crewe,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/ava-comes-home3/9781551096766_cover/365440079-1-eng-CA/9781551096766_cover_coverbookpage_embed.jpg,"From the author of Relative Happiness and Shoot Me comes a riveting story about one terrible secret-a secret kept in shame, buried deep for self-preservation, ..."
Ava et le monde des tout-petits,Neil Christopher,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/ava-et-le-monde-des-tout-petits/9781927095348_cover/419596612-1-eng-CA/9781927095348_cover_coverbookpage_embed.jpg,"This whimsical tale of Arctic adventure is now available in French!In the Arctic, tales of tiny people who live on the land abound. This children's story ..."
Avenue of Mysteries,John Irving,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/avenue-of-mysteries/9780307361813_cover/256916727-1-eng-CA/9780307361813_cover_coverbookpage_embed.jpg,John Irving returns to the themes that established him as one of North America's most admired and beloved storytellers in this absorbing novel of fate and ...
Avenue of Mysteries,John Irving,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/avenue-of-mysteries2/9780307361820_cover/385892436-1-eng-CA/9780307361820_cover_coverbookpage_embed.jpg,John Irving returns to the themes that established him as one of North America's most admired and beloved storytellers in this absorbing novel of fate and ...
A Very Bold Leap,Yves Beauchemin,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-very-bold-leap/9780771012587_cover/172394929-1-eng-CA/9780771012587_cover_coverbookpage_embed.jpg,"The third novel in the highly acclaimed quartet, The Charles the Bold Series, about a young man growing up in Montreal from the 1960s to 2000.The last lines of ..."
A Very Merry Temptation,Kimberly Kaye Terry,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-very-merry-temptation2/9780373091416_cover/422795801-1-eng-CA/9780373091416_cover_coverbookpage_embed.jpg,Have Yourself A Merry Tempting Holiday?&nbsp;'Twas the Season by Kimberly Kaye Terry&nbsp;Overworked Nikki Danes is giving herself the perfect gift?a guilt-free affair ...
A Very NASCAR Holiday,Nancy Warren,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-very-nascar-holiday/9780373774111_cover/420128121-1-eng-CA/9780373774111_cover_coverbookpage_embed.jpg,"All I Want for Christmas by Nancy WarrenDarren Littlejohn may be only ten, but he knows what he wants—to meet his hero, NASCAR driver Jason Bane. Of course, ..."
A Very Special Delivery,Brenda Harlen,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-very-special-delivery2/9780373657650_cover/419900868-1-eng-CA/9780373657650_cover_coverbookpage_embed.jpg,"Can a snowbound mom-to-be find love with the sexy stranger who delivers her baby? Find out in the newest installment of Those Engaging Garretts, the sizzling ..."
A Victorian Nova Scotia Christmas,Molly Simmons,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-victorian-nova-scotia-christmas/9781551090726_cover/366071803-1-eng-CA/9781551090726_cover_coverbookpage_embed.jpg,"It's Christmas Eve in the fair town of Amherst, Nova Scotia, and sparkling snowflakes crown the pointed roofs of houses as stately as Victorian ladies. It has ..."
A Virgin to Redeem the Billionaire,Dani Collins,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-virgin-to-redeem-the-billionaire2/9781335538154_cover/419917886-1-eng-CA/9781335538154_cover_coverbookpage_embed.jpg,"He’ll make her pay…Until he learns of her innocence!Self-made billionaire Kaine Michaels has just given Gisella Drummond, daughter of one of New York’s ..."
A Voice in the Dark,Jenna Ryan,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-voice-in-the-dark2/9780373888856_cover/420109936-1-eng-CA/9780373888856_cover_coverbookpage_embed.jpg,"No one knew what Noah Graydon looked like, but they'd all heard the rumors. How he'd been broken, even scarred, on his last case. How he never showed his ..."
A Vow to Keep,Cara Colter,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-vow-to-keep2/9780373198429_cover/420266052-1-eng-CA/9780373198429_cover_coverbookpage_embed.jpg,"Promises could break hearts and ruin friendships, but still Rick Chase found himself promising to step back into Linda Starr's life, to help his old friend get ..."
A Walk Across The Sun,Corban Addison,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-walk-across-the-sun3/image-front-cover/423722367-1-eng-CA/Image-front-cover_coverbookpage_embed.jpg,"The international bestseller, with more than 35,000 copies sold in CanadaWhen a tsunami rages through their coastal village in India, Ahalya Ghai and her ..."
A Walk on Broken Glass,Gloria M. Allan,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-walk-on-broken-glass/9781926991290_cover/283825900-1-eng-CA/9781926991290_cover_coverbookpage_embed.jpg,"Elizabeth, Empress of Austria and Hungary, was the acknowledged beauty of her society. At 17, she married the Emperor Franz Joseph. He adored her. Her subjects ..."
Away,Jane Urquhart,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/away4/9780771086427_cover/242642927-1-eng-CA/9780771086427_cover_coverbookpage_embed.jpg,"A stunning, evocative novel set in Ireland and Canada, Away traces a family’s complex and layered past. The narrative unfolds with shimmering clarity, and ..."
Away from Everywhere,Chad Pelley,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/away-from-everywhere/9781550812657_cover/414459766-1-eng-CA/9781550812657_cover_coverbookpage_embed.jpg,"Brothers Owen and Alex Collins are brought together when mental illness claims their father and sets off a chain reaction of unrelated, heart-breaking events. ..."
A Wedding on the Banks,Cathie Pelletier,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-wedding-on-the-banks/9781402294907_cover/90079049-1-eng-CA/9781402294907_cover_coverbookpage_embed.jpg,"It's a Mattagash wedding! Everyone's invited, and no one's without an agenda? Amy Joy Lawler is getting married-to an outsider. Her mother, Sicily, has taken ..."
A Week of This,Nathan Whitlock,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-week-of-this/9781550228151_cover/226474187-1-eng-CA/9781550228151_cover_coverbookpage_embed.jpg,"Brilliant, darkly comic, and startlingly&nbsp;honest, this novel follow the lives of an extended family over one increasingly desperate week.&nbsp;Manda is a ..."
A Week of This,Nathan Whitlock,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-week-of-this3/9781770410367_cover/226579268-1-eng-CA/9781770410367_cover_coverbookpage_embed.jpg,"Darkly comic and startlingly honest, this novel follows the lives of an extended family over one increasingly desperate week. Manda is a 38-year-old, tough, ..."
A Whole Life,Robert Seethaler,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-whole-life/9781487000752_cover/166174991-1-eng-CA/9781487000752_cover_coverbookpage_embed.jpg,"Andreas lives his whole life in the Austrian Alps, where he arrives as a young boy taken in by a farming family. He is a man of very few words and so, when he ..."
A Wife for One Year,Brenda Harlen,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-wife-for-one-year2/9780373658305_cover/420056289-1-eng-CA/9780373658305_cover_coverbookpage_embed.jpg,"Marriage Agreement&nbsp;Between Daniel Garrett and Kenna Scott&nbsp;Stay married one year&nbsp;Fool the family&nbsp;No sex!&nbsp;To claim his trust fund and launch a new career, Daniel ..."
A Wilderness Station,Alice Munro,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-wilderness-station/9780143196938_cover/408162012-1-eng-CA/9780143196938_cover_coverbookpage_embed.jpg,From the 2013 Nobel laureate in Literature--and perhaps our most beloved author: a beautifully repackaged reissue of Alice Munro's Selected Stories  ...
A Wolf's Heart,Vivi Anna,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-wolf-s-heart/9780373618828_cover/420282555-1-eng-CA/9780373618828_cover_coverbookpage_embed.jpg,"Desire can be deadly.Gabriel Bellmonte knows that better than anyone. He let his first love slip away, while loyalty to his kind kept him in Nouveau Monde ..."
A Woman of Note,Carol M. Cram,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-woman-of-note/9781503946835_cover/252612172-1-eng-CA/9781503946835_cover_coverbookpage_embed.jpg,Virtuoso pianist Isabette Grüber captivates audiences in the salons and concert halls of early nineteenth-century Vienna. Yet in a profession dominated by ...
A Woman Scorned,James Heneghan,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-woman-scorned/9781459804067_cover/418329785-1-eng-CA/9781459804067_cover_coverbookpage_embed.jpg,"Vancouver city councilor George Hamilton Nash has left his wife of twenty years and moved into a posh West End condo. A wealthy man about town, Nash appears to ..."
A World Elsewhere,Wayne Johnston,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-world-elsewhere/9780307399892_cover/95483974-1-eng-CA/9780307399892_cover_coverbookpage_embed.jpg,"Beloved author Wayne Johnston returns to the territory of his #1 national bestseller The Colony of Unrequited Dreams with this sweeping tale of ambition, ..."
A World Elsewhere,Wayne Johnston,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-world-elsewhere2/9780307399915_cover/379341154-1-eng-CA/9780307399915_cover_coverbookpage_embed.jpg,"Beloved author Wayne Johnston returns to the territory of his #1 national bestseller The Colony of Unrequited Dreams with this sweeping tale of ambition, ..."
Axis,Robert Charles Wilson,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/axis/9780765348265_cover/346468050-1-eng-CA/9780765348265_cover_coverbookpage_embed.jpg,"Wildly praised by readers and critics alike, Robert Charles Wilson'sSpinwon science fiction's highest honor, the Hugo Award for Best Novel.Now, inAxis,Spin's ..."
A Year After Henry,Cathie Pelletier,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-year-after-henry/9781402296789_interior/421922790-1-eng-CA/9781402296789_interior_coverbookpage_embed.jpg,"&quot;Nobody walks the knife-edge of hilarity and heartbreak more confidently than Pelletier.&quot;—Richard RussoIn her exquisite new novel, acclaimed author Cathie ..."
A Year At River Mountain,Michael Kenyon,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-year-at-river-mountain2/9781927068045_cover/90230341-1-eng-CA/9781927068045_cover_coverbookpage_embed.jpg,"Part intellectual mystery and part spiritual adventure, A Year At River Mountain tells the story of an aging actor from Vancouver who has immersed himself in ..."
A Year Of Lesser,David Bergen,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-year-of-lesser3/9781554688739_cover/424289139-1-eng-CA/9781554688739_cover_coverbookpage_embed.jpg,"When Johnny Fehr, a down-on-his-luck feed supply salesman, thinks about Lorraine, his lover, it’s like the Holy Spirit tickling his spine. But Johnny is ..."
Ayesha At Last,Uzma Jalaluddin,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/ayesha-at-last/9781443455848_cover/424187303-1-eng-CA/9781443455848_cover_coverbookpage_embed.jpg,Pride and Prejudice with a modern twist&nbsp;&nbsp;AYESHA SHAMSI has&nbsp;a lot&nbsp;going on.&nbsp;&nbsp;Her dreams of being a poet have been set aside for a teaching job so she can pay ...
Ayesha At Last,Uzma Jalaluddin,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/ayesha-at-last3/9781443455862_cover/424411522-1-eng-CA/9781443455862_cover_coverbookpage_embed.jpg,"Soon to be a major motion picture by Warner Brothers Entertainment and Pascal PicturesPride and Prejudice with a modern twist—a feel-good, laugh-out-loud ..."
Baby in Her Arms,Stella MacLean,https://images.49thshelf.com/var/ezflow_site/storage/images/books/b/baby-in-her-arms/9780373715534_cover/420169184-1-eng-CA/9780373715534_cover_coverbookpage_embed.jpg,"He was'still is?the love of her life. Now, more than a year after Andrew's death, Emily Martin discovers eleven letters he'd left for her. Letters that relive ..."
Baby Khaki's Wings,Anar Ali,https://images.49thshelf.com/var/ezflow_site/storage/images/books/b/baby-khaki-s-wings/9780143052456_cover/391600435-1-eng-CA/9780143052456_cover_coverbookpage_embed.jpg,"These richly imagined tales, by turns playful and dark, and shot through with magic, depict the lives of East African Ismailis, a Muslim community with origins ..."
Baby Makes Three,Molly O'Keefe,https://images.49thshelf.com/var/ezflow_site/storage/images/books/b/baby-makes-three2/9780373782055_cover/420163068-1-eng-CA/9780373782055_cover_coverbookpage_embed.jpg,"Alice Mitchell has seen better days. But that was before the heartbreak of infertility, divorce and losing her trendy New York restaurant.Then, after five long ..."
Baby Makes Three,Molly O'Keefe,https://images.49thshelf.com/var/ezflow_site/storage/images/books/b/baby-makes-three3/9780373714605_cover/420001236-1-eng-CA/9780373714605_cover_coverbookpage_embed.jpg,"Alice Mitchell has seen better days. But that was before the heartbreak of infertility, divorce and losing her trendy New York restaurant.Then, after five long ..."
Baby Talk & Wedding Bells,Brenda Harlen,https://images.49thshelf.com/var/ezflow_site/storage/images/books/b/baby-talk-wedding-bells2/9780373623280_cover/420017851-1-eng-CA/9780373623280_cover_coverbookpage_embed.jpg,"The start of a new chapter?&nbsp;Braden Garrett felt blessed the instant his adopted baby girl was laid in his arms. Fifteen months later, the widowed CEO feels out ..."
Back Roads,Andrée A. Michaud,https://images.49thshelf.com/var/ezflow_site/storage/images/books/b/back-roads2/9781487005801_cover/423125147-1-eng-CA/9781487005801_cover_coverbookpage_embed.jpg,"In Scotiabank Giller Prize–longlisted author Andrée A. Michaud’s genre-defying, ethereal mystery, a writer encounters her double and must grapple with an ..."
Backspin,Charles Crosby,https://images.49thshelf.com/var/ezflow_site/storage/images/books/b/backspin/9780973955835_cover/240357321-1-eng-CA/9780973955835_cover_coverbookpage_embed.jpg,"Tennis prodigy Olie Wood was once the toast of professional sports. He was featured on the cover of Sports Illustrated. He gave prime ministers lessons, dated ..."
