title,authors,image,description
419,Will Ferguson,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/4192/9780143176015_cover/385616905-1-eng-CA/9780143176015_cover_coverbookpage_embed.jpg,"From internationally bestselling travel writer Will Ferguson, author of Happiness™ and Spanish Fly, comes a novel both epic in its sweep and intimate in its ..."
47 Sorrows,Janet Kellough,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/47-sorrows2/9781459709287_author/425135464-1-eng-CA/9781459709287_author_coverbookpage_embed.jpg,"In this third novel in the series, Thaddeus Lewis and his son journey into the heart of disaster.When the bloated corpse of a man dressed in women’s clothing ..."
5000 Dead Ducks,CD Evans,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/5000-dead-ducks/9780968975442_cover/371037382-1-eng-CA/9780968975442_cover_coverbookpage_embed.jpg,"Set in the fictional land of Alberia, 5000 Dead Ducks is about Mavis Wong, an enviro-science graduate who finds herself teamed up with a group of unscrupulous ..."
59 Glass Bridges,Steven Peters,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/59-glass-bridges/9781926455785_cover/369705906-1-eng-CA/9781926455785_cover_coverbookpage_embed.jpg,"In 59 Glass Bridges, an unnamed narrator travels through a maze that is at once mutable and immutable: walls fall to vine-filled forests, hallways to rivers, ..."
74 Miles Away,J.D. Carpenter,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/74-miles-away/9781550026498_cover/425405690-1-eng-CA/9781550026498_cover_coverbookpage_embed.jpg,"Long-listed for the 2009 ReLit Award Because business is slow for retired homicide detective Campbell Young’s new enterprise, A-1 Investigative ..."
7 Good Reasons Not To Be Good,John Gould,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/7-good-reasons-not-to-be-good/9781554686322_cover/122659649-1-eng-CA/9781554686322_cover_coverbookpage_embed.jpg,"Seven Good Reasons Not to Be Good opens with a cryptic postcard from forty-something Matt to his oldest friend, Zane. Zane is dying -- for &quot;good&quot; -- but Matt's ..."
7 Good Reasons Not To Be Good,John Gould,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/7-good-reasons-not-to-be-good2/9781554686339_cover/424241692-1-eng-CA/9781554686339_cover_coverbookpage_embed.jpg,"Seven Good Reasons Not to Be Good opens with a postcardfrom forty-something Matt to his oldest friend Zane.Zane is dying, but maybe he doesn’t need to be. ..."
7 Ways to Sunday,Lee Kvern,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/7-ways-to-sunday/9781926531854_cover/421579601-1-eng-CA/9781926531854_cover_coverbookpage_embed.jpg,Lee Kvern's much-anticipated new collection contains stories which revolve around humanity in all its flawed glory: an artist's girlfriend dies by mistake; a ...
88,Michael Fletcher,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/882/9781927400234_cover/115525518-1-eng-CA/9781927400234_cover_coverbookpage_embed.jpg,"The dream of Artificial Intelligence is dead and the human mind is now the ultimate processing machine. Demand is high, but few are willing to sacrifice their ..."
8 X 10,Michael Turner,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/8-x-102/9780385665933_cover/131292581-1-eng-CA/9780385665933_cover_coverbookpage_embed.jpg,"Shockingly original and intensely intelligent, 8 × 10 is a series of snapshots of a world torn apart by war and migration.Fearless in form, Michael Turner’s ..."
Étienne's Alphabet,James King,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/etienne-s-alphabet/9781897151877_cover/344864281-1-eng-CA/9781897151877_cover_coverbookpage_embed.jpg,"To all who knew him, Étienne Morneau lived unremarkably. Raised in an orphanage, his parents unknown, people considered him reserved, unfeeling, and ..."
A,André Alexis,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a/9781927040799_cover/340647402-1-eng-CA/9781927040799_cover_coverbookpage_embed.jpg,"A is a work of fiction in which André Alexis presents the compelling narrative of Alexander Baddeley, a Toronto book reviewer obsessed with the work of the ..."
Aaron,Yves Theriault,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/aaron/9781554580026_cover/420419305-1-eng-CA/9781554580026_cover_coverbookpage_embed.jpg,"W. Donald Wilson and Paul G. Socken’s translation of Aaron, by Québécois author Yves Thériault, makes this fine novel available in English for the first ..."
A Baby by Easter & A Family for Summer,Lois Richer,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-baby-by-easter-a-family-for-summer/9780373208548_cover/423720196-1-eng-CA/9780373208548_cover_coverbookpage_embed.jpg,Author Lois Richer brings you two stories of love and faithA Baby by Easter Susannah Wells and her unborn baby have nowhere to turn. So when she encounters ...
A Baby for Christmas,Linda Ford,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-baby-for-christmas2/9780373283347_cover/423982639-1-eng-CA/9780373283347_cover_coverbookpage_embed.jpg,"From Pregnant Widow to Cowboy's Bride&nbsp;For widow Louise Porter, a temporary marriage to cowboy Nate Hawkins seems the only solution to protect her unborn child. ..."
A Bargain with the Boss,Barbara Dunlop,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-bargain-with-the-boss2/9780373734535_cover/419966470-1-eng-CA/9780373734535_cover_coverbookpage_embed.jpg,"With her boss, it's all work and all pleasure! Only from New York Times bestselling author Barbara Dunlop!&nbsp;For years, Tuck Tucker has played the role of ..."
