isbn,title,authors,overview
9780060597900,The Pearl Diver: A Novel (the Rei Shimura Series),['Sujata Massey'],"""A dazzling engagement ring and the promise of a fresh start in a new country bring antiques dealer and sometime-sleuth Rei Simura to Washington, D.C. But while she tries to play catch-up with her beautiful, politically connected cousin, Kendall, and is commissioned to furnish a chic Japanese-fusion restaurant, things start to go haywire. First, Kendall vanishes from the restaurant's opening-night party, and then Rei is drafted to help Andrea, the restaurant's elegant, cagey hostess, investigate the disappearance of her own Japanese mother thirty years earlier."" ""As the strands of these puzzles begin to come together, Rei finds that her relationship with her fiance, Hugh, has changed from sizzle to burn. At the same time, she faces troubling questions about what it means to be a loving mother - and whether her own independent streak will endanger the women to whom she has grown close."" Rei must research the scary old days of the Vietnam War and delve into the secret history of an ambitious presidential candidate to piece together the mystery of the vanished women - and also understand truths about herself, which may change her destiny."
9780060195854,"Double Deal: The Inside Story Of Murder, Unbridled Corruption, And The Cop Who Was A Mobster","['Sam Giancana', 'Michael Corbitt', 'Bettina Giancana']","""A expose of organized crime and its unholy alliance with world leaders, intelligence agencies, and law enforcement, Double Deal is a forty-year saga told with honesty by mob insider and former chief of police Michael Corbitt."" ""Growing up poor and angry, Michael Corbitt fought his way up the ranks of greasers and street gangs until he attracted the attention of Chicago crime boss Sam Giancana, who placed him on the Willow Springs, Illinois, police force. By the time he was appointed chief of police, he'd also moved up the Outfit's ranks and was living the high life of a respected mobster."" ""Corbitt's luck turned when he was indicted on charges of racketeering and conspiracy to commit murder. Although there was a mob contract on his life and he was facing a twenty-year sentence, he refused to testify against organized crime figures under the witness protection program, maintaining instead the mafioso's code of silence - omerta - until his release from prison."" ""Now Corbitt breaks that silence, holding back nothing - including the account of his personal involvement in the brutal murder of the wife of Chicago mob attorney Alan Masters. Making no excuses for his dual existence, Corbitt bares his soul, confessing in graphic detail a life lived as both saint and sinner, a life that moved back and forth between the conflicting worlds of the police officer and the gangster with schizophrenic ease."" ""Delving deep into the shadowy underworld, Corbitt divulges the story of organized crime's ""mystery man,"" the brilliant Chicago mobster who has been the real power behind the Outfit's throne for almost thirty years. Corbitt paints a frightening picture of a man he knew all too well, a man who would do anything to control the Outfit's international gambling and money-laundering empire worth billions."" Corbitt's stunning revelations have been corroborated by FBI agents and court and government documents. From the murder of Chicago boss Sam Giancana to the myth of a ""clean"" L"
9780060972332,"Hardball: How Politics Is Played, Told By One Who Knows The Game",['Christopher Matthews'],"""A thoroughly entertaining book about modern-day American politics and how it's played . . . for political junkies, news junkies, and students of American government, it can be much more.""--<i>Wall Street Journal</i>

                        <p>A thoroughly entertaining book about modern-day American politics and how it's played.
</p>"
9780060970192,Making It As A Stepparent,['Claire Berman'],"""An excellent guide to help the remarried couple understand their situation. It gets rave reviews.""—Roger B. Burt, Ph.D., President, Stepfamily Association of America

                        <p>""...an excellent guide to help the remarried couple understand their situation. It gets rave reviews.""--Roger B. Burt, Ph.D.
</p>"
9780061491894,Ten Things I Love About You,['Julia Quinn'],"""Delightful."" <br>
-Nora Roberts 
<p>A perennial New York Times bestselling author, whose books have reached as high as #1, Julia Quinn returns with Ten Things I Love About You, another clever, witty, and delightful historical romance. Author Jill Barnett calls the incomparable Quinn, ""Truly our contemporary Jane Austen,"" Time magazine says her books are, ""Smart, funny""-and this absolutely delicious tale of a beautiful country girl equally desired by an aging lecherous lord and his handsome rogue of a nephew is further proof that, ""1. [Quinn's] characters are engaging, fun, and witty. 2. [Her] dialogue is engaging, fun and witty"" (Orlando Sentinel).</p>
<p>Ten Things You Should Know About This Book</p>
<p>1. Sebastian Grey is a devilishly handsome rogue with a secret.</p>
<p>2. Annabel Winslow's family voted her The Winslow Most Likely to Speak Her Mind and The Winslow Most Likely to Fall Asleep in Church.</p>
<p>3. Sebastian's uncle is the Earl of Newbury, and if he dies without siring an heir, Sebastian inherits everything.</p>
<p>4. Lord Newbury detests Sebastian and will stop at nothing to prevent this from happening.</p>
<p>5. Lord Newbury has decided that Annabel is the answer to all of his problems.</p>
<p>6. Annabel does not want to marry Lord Newbury, especially when she finds out he once romanced her grandmother.</p>
<p>7. is shocking, 8 is delicious, and 9 is downright wicked, all of which lead the way to</p>
<p>10. Happily. Ever. After.</p>"
9780060824976,"The Thief (the Queen's Thief, Book 1)",['Megan Whalen Turner'],"""Gen the thief is released from prison in the imaginary medieval land of Sounis by the king's magus, on the condition that he join an expedition to recover the legendary Hamiathes's Gift Stone....For the chance at regaining his freedom, Gen agrees....His ultimate discovery of the legendary stone and the clearing of his reputation are as grand as the fantastic myths the travelers tell on their fateful trip. This is an uplifting book, a literary journey that enhances both its characters and readers before it is over.""—Kirkus Reviews.
<p>Author Biography:</p>
<p>Megan Whalen Turner, author of <i>The Thief</i> (a Newbery Honor winner) and <i>Instead of Three Wishes,</i> lives in Menlo Park, California. In Her Own Words...</p>
<p>""When I was ten I read a lot of great books, and when I couldn't easily find more, I decided I would be a writer and write stories of my own, even though it didn't sound as exciting as reading. The only impediment to beginning my career right then was that I couldn't think of anything to write.</p>
<p>""Joan Aiken said she saw stories all around her, prompted by everyday events. She also said (in her bio) that she'd been telling stories since birth and completed her first novel in Latin class when she was seventeen. And there I was ten years old without a rag of a story to call my own. Roald Dahl said he kept a notebook in which he scribbled his ideas so that he wouldn't forget them. This sounded sensible and I gave it a try. When I forced one out, it sounded like this: Write a story about a blind girl who wants to go to school and be like everybody else.</p>
<p>""Well, that idea just sat there on the page. It did not magically turn into a story the wayit was supposed to. (Or if it did, it was somebody else's story: <i>Light a Single Candle.</i>) So much for Roald Dahl.</p>
<p>""I let the matter drop, I didn't write anything, and I didn't think very much about it again until I was in my third year of college when I had to choose a field and begin a senior project. I thought that writing had to be easier than sifting down to read, say, The Mill on the Floss, and I proposed to study children's literature and write some of my own.</p>
<p>""What I produced was almost uniformly horrible, but I think that was because I didn't want to write anything that wasn't perfect and nothing comes out perfect the first time. I think that anyone who wants to write well has to write copiously first. But I didn't know that then, so I gave up on writing and spent seven years as a children's book buyer in various bookstores. Then my husband, who is a professor of English, got a grant to do research for a year in California and I left my job to go with him. I thought that if I didn't set myself to do something constructive, I might end up reading, say, <i>The Mill on the Floss,</i> so I decided again to write, and I did. I produced short stories that I sent to Diana Wynne Jones. She recommended that I send them to Susan Hirschman at Greenwillow, who agreed to publish them, to my surprise. I had intended them as writing samples, hoping to interest Greenwillow in a novel if I ever wrote one.</p>
<p>""This was so easy and so surprising that it might contradict what I said earlier about a writer needing to write a lot before writing well, but I realize, in retrospect, I did write a lot-English compositions, answers to essay questions on science homework, college papers, and thankyou notes. Especially thank-you notes. My mother always supervised mine and she had high standards. In fact, my advice to anyone who wants to be a writer is to avoid reading any other author's biography. Spend your time on your thank-you notes.""</p>


                        <p>Gen flaunts his ingenuity as a thief and relishes the adventure which takes him to a remote temple of the gods where he will attempt to steal a precious stone.
</p>"
9780060956837,Hot Buttons: How To Resolve Conflict And Cool Everyone Down,"['Sybil Evans', 'Sherry Suib Cohen']","""Hot Buttons"" are emotional triggers that, when pushed, can cause people to lose control and lash out. Sybil Evans, a noted conflict resolution expert, helps people work through their interpersonal and career problems in order to deepen the quality of their relationships. She does this by showing them how to: 
<ul>
<li>Soothe angry lovers</li>
<li>Smooth the rough edges of workplace tension</li>
<li>Choose harmony instead of fury between family and friends</li>
<li>Defuse road rage, cubicle rage, air rage, phone rage, and other banes of the times.</li>
</ul>
<p>Providing simple, but powerful tools to help everyone cope with resentments and frustrations, <i>Hot Buttons</i> is an essential handbook for learning how to forge a healthier, saner approach to resolving differences in the 21st Century.</p>"
9780060745332,"Even After All This Time: A Story Of Love, Revolution, And Leaving Iran","['Afschineh Latifi', 'Pablo F. Fenjves']","""In February 1979, when Afschineh Latifi was just ten years old, her father, a colonel under the Shah of Iran, was imprisoned by Khomeini's soldiers. Afschineh and her three siblings were left in the care of their mother, who did everything in her power to free her husband from jail, and who struggled to survive in a newly fundamentalist society that was openly hostile to women."" ""In the torturous weeks and months that followed, Mrs. Latifi and her husband communicated by writing notes to each other on tiny squares of paper, and bribing the guards to pass them back and forth."" ""In late May, Colonel Latifi was executed, shot with little fanfare on a prison rooftop, and the story begins. Fearing for the safety of her daughters, Mrs. Latifi made a heartrending decision: She sent Afschineh and her sister, Afsaneh, abroad, knowing it might be years before she embraced them again - if ever."" Even After All This Time is the story of a self-made man and the schoolteacher with whom he fell in love, of a family torn apart by war and violence, and of the two little girls who found themselves on their own in America, forced to become strong young women before they even had a childhood."
9780060504083,Small Wonder: Essays,['Barbara Kingsolver'],"""In her new essay collection, the beloved author of High Tide in Tucson brings to us from one of history's darker moments an extended love song to the world we still have. From its opening parable gleaned from recent news about a lost child saved in an astonishing way, the book moves on to consider a world of surprising and hopeful prospects, ranging from an inventive conservation scheme in a remote jungle to the backyard flock of chickens tended by the author's small daughter."" Whether she is contemplating the Grand Canyon, her vegetable garden, motherhood, adolescence, genetic engineering, TV-watching, the history of civil rights, or the future of a nation founded on the best of all human impulses, these essays are grounded in the author's belief that our largest problems have grown from the earth's remotest corners as well as our own backyards, and that answers may lie in those places, too. In the voice Kingsolver's readers have come to rely on - sometimes grave, occasionally hilarious, and ultimately persuasive - Small Wonder is a hopeful examination of the people we seem to be, and what we might yet make of ourselves."
9780060566524,Saks And Violins (a Bed And Breakfast Mystery #22),['Mary Daheim'],"""Indomitable heroine Judith McMonigle Flynn tries to extend a helping hand to a pesky new neighbor - and ends up with a corpse underfoot while she and cousin Renie cope with ... Saks &amp; Violins."" ""Hard times and sour notes have hit the cousins in both the B&amp;B and the graphic design business. To make matters worse, Renie's up to her latest eyebrow wax in debt, due to overzealous spending on clothes on their recent trip to San Francisco. And in the house that Herself - Judith's nemesis and hubby Joe's ex-wife - has rented out, there dwells a symphony violinist whose practice of outdoor practicing au naturel is driving the neighbors out of the cozy cul-de-sac and into soundproof rooms. In fact, they swear they'd like to kill the nude, rude Rudi."" ""No such luck. The only buffer zone from the in-the-buff violinist is the Rankerses' hedge. Instead of Rudi taking a final bow with his damnable bow, it's his larger-than-life mentor, Dolph Kluger, who meets death, not by getting entangled in the lethal laurel, but from ingesting ruthless rhubarb."" To add to the musical mess, Rudi's valuable violin bow goes missing, Renie's useless credit cards are stolen, a headless horseman rides through somebody's past, and several suspects seem to be on the brink of bonkersville. Judith has to be extra careful with these lyrical loonies or somebody will be playing her funeral march before the killer bows out."
